colony,night,damage
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
